Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
146,PMR CH 6,446.06875,,0,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
147,PMR CH 7,446.08125,,0,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
148,PMR CH 8,446.09375,,0,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
149,PMR CH 9,446.10625,,0,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
150,PMR CH 10,446.11875,,0,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
151,PMR CH 11,446.13125,,0,DTCS,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
152,PMR CH 12,446.14375,,0,DTCS,88.5,88.5,155,RR,023,Tone->Tone,FM,5,,10W,,,,,
153,PMR CH 13,446.15625,,0,DTCS,88.5,88.5,465,RR,023,Tone->Tone,FM,5,,10W,,,,,
154,PMR CH 14,446.16875,,0,DTCS,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
155,PMR CH 15,446.18125,,0,,88.5,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
156,PMR CH 16,446.19375,,0,TSQL,88.5,203.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
180,ISS X 1,437.8125,split,145.9775,Tone,67,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
181,ISS X 2,437.81,split,145.98,Tone,67,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
182,ISS X 3,437.8075,split,145.9825,Tone,67,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
183,ISS X 4,437.805,split,145.985,Tone,67,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
184,ISS X 5,437.8025,split,145.9875,Tone,67,88.5,023,NN,023,Tone->Tone,FM,5,,25W,,,,,
185,ISS X 6,437.8,split,145.99,Tone,67,88.5,023,NN,023,Tone->Tone,FM,5,,25W,,,,,
186,ISS X 7,437.7975,split,145.9925,Tone,67,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
187,ISS X 8,437.795,split,145.995,Tone,67,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
188,ISS X 9,437.7925,split,145.9975,Tone,67,88.5,023,NN,023,Tone->Tone,FM,5,,25W,,,,,
189,ISS X 10,437.79,split,146,Tone,67,88.5,023,NN,023,Tone->Tone,FM,5,,25W,,,,,
190,ISS X 11,437.7875,split,146.0025,Tone,67,88.5,023,NN,023,Tone->Tone,FM,5,,25W,,,,,
191,ISS X 12,437.785,split,146.005,Tone,67,88.5,023,NN,023,Tone->Tone,FM,5,,10W,,,,,
